"Termos","Freq","Documento","IES","Código"
"constitut",1,5,1,1129
"convict",2,5,1,1169
"cultur",1,5,1,1276
"curb",1,5,1,1282
"data",1,5,1,1330
"databas",1,5,1,1331
"debat",1,5,1,1345
"decemb",1,5,1,1351
"defin",1,5,1,1373
"definit",1,5,1,1375
"depriv",1,5,1,1418
"deserv",1,5,1,1429
"despit",2,5,1,1434
"easi",1,5,1,1642
"escola",1,5,1,1815
"estatística",1,5,1,1827
"even",1,5,1,1855
"factor",1,5,1,1942
"feder",2,5,1,1981
"ferreira",1,5,1,1997
"focu",1,5,1,2065
"freedom",1,5,1,2123
"fundament",1,5,1,2149
"guid",1,5,1,2341
"guilti",1,5,1,2345
"highest",1,5,1,2449
"highlight",2,5,1,2452
"histor",1,5,1,2458
"human",3,5,1,2505
"ibg",1,5,1,2537
"imbal",1,5,1,2568
"individu",1,5,1,2632
"ineffici",1,5,1,2637
"inequ",1,5,1,2639
"infopen",1,5,1,2659
"inform",1,5,1,2660
"issu",2,5,1,2795
"janeiro",4,5,1,2812
"judgment",1,5,1,2839
"judiciari",1,5,1,2840
"justic",1,5,1,2855
"keyword",1,5,1,2877
"liberti",1,5,1,3016
"limit",1,5,1,3035
"maria",1,5,1,3190
"mato",1,5,1,3224
"nacion",1,5,1,3502
"nation",1,5,1,3526
"novellino",1,5,1,3649
"number",2,5,1,3660
"observ",1,5,1,3677
"occupi",1,5,1,3685
"often",1,5,1,3697
"overcrowd",1,5,1,3785
"penitentiari",1,5,1,3914
"peopl",1,5,1,3919
"percentag",1,5,1,3925
"popul",1,5,1,4071
"possibl",1,5,1,4093
"practic",1,5,1,4114
"prejud",1,5,1,4142
"presenc",1,5,1,4157
"prison",15,5,1,4186
"privileg",1,5,1,4190
"procedur",1,5,1,4202
"process",1,5,1,4204
"profil",3,5,1,4214
"provid",1,5,1,4253
"provision",3,5,1,4255
"public",1,5,1,4273
"ratifi",1,5,1,4372
"recur",2,5,1,4418
"reflect",1,5,1,4431
"regard",1,5,1,4436
"relat",1,5,1,4461
"repres",1,5,1,4497
"right",3,5,1,4565
"rio",4,5,1,4570
"root",1,5,1,4603
"salet",1,5,1,4642
"sever",1,5,1,4805
"sinc",1,5,1,4884
"situat",1,5,1,4899
"slow",1,5,1,4924
"societi",1,5,1,4962
"sociodemograph",1,5,1,4964
"solut",1,5,1,4979
"space",1,5,1,4999
"state",3,5,1,5081
"statist",1,5,1,5088
"strongli",1,5,1,5136
"survei",1,5,1,5225
"system",2,5,1,5254
"task",1,5,1,5277
"theme",2,5,1,5350
"treatment",3,5,1,5481
"unifi",1,5,1,5594
"unit",2,5,1,5598
"verifi",1,5,1,5701
"vex",1,5,1,5714
"view",1,5,1,5727
"viii",1,5,1,5730
"violat",1,5,1,5735
"well",1,5,1,5821
"work",1,5,1,5867
"yet",1,5,1,5903
"accid",2,6,1,31
"advisor",1,6,1,96
"agent",1,6,1,112
"also",1,6,1,181
"ana",1,6,1,216
"analysi",1,6,1,224
"analyz",1,6,1,227
"base",1,6,1,473
"bertho",1,6,1,529
"bodi",2,6,1,611
"carolina",1,6,1,781
"categori",1,6,1,804
"caus",2,6,1,810
"characterist",1,6,1,870
"ciência",1,6,1,917
"circumscript",1,6,1,924
"circumstanti",1,6,1,926
"citizen",1,6,1,931
"classifi",1,6,1,944
"compar",1,6,1,1042
"compos",1,6,1,1064
"concentr",1,6,1,1079
"conclud",1,6,1,1083
"corpor",1,6,1,1191
"correl",2,6,1,1197
"crime",4,6,1,1246
"death",9,6,1,1344
"describ",1,6,1,1425
"due",2,6,1,1621
"duti",1,6,1,1627
"escola",1,6,1,1815
"estatística",1,6,1,1827
"even",1,6,1,1855
"evolut",1,6,1,1866
"factor",1,6,1,1942
"fernand",1,6,1,1993
"follow",2,6,1,2069
"furthermor",1,6,1,2155
"hierarch",1,6,1,2444
"high",1,6,1,2447
"homicid",2,6,1,2476
"ibg",1,6,1,2537
"includ",1,6,1,2606
"indic",1,6,1,2626
"injuri",2,6,1,2675
"integr",2,6,1,2713
"intent",2,6,1,2719
"intervent",1,6,1,2747
"janeiro",5,6,1,2812
"keyword",1,6,1,2877
"kill",2,6,1,2880
"lethal",2,6,1,3004
"locat",1,6,1,3061
"lowest",1,6,1,3095
"main",1,6,1,3141
"matheu",1,6,1,3220
"mendonça",1,6,1,3275
"militari",7,6,1,3337
"multipl",1,6,1,3481
"nacion",1,6,1,3502
"occup",1,6,1,3684
"occur",1,6,1,3686
"offic",6,6,1,3693
"polic",8,6,1,4046
"posit",1,6,1,4090
"present",1,6,1,4158
"profess",1,6,1,4210
"profession",1,6,1,4211
"public",2,6,1,4273
"rank",1,6,1,4362
"rate",2,6,1,4369
"research",1,6,1,4505
"result",1,6,1,4528
"rio",5,6,1,4570
"risk",1,6,1,4573
"robberi",2,6,1,4588
"secur",2,6,1,4742
"sinc",1,6,1,4884
"soar",1,6,1,4953
"spatial",2,6,1,5004
"state",4,6,1,5081
"structur",1,6,1,5137
